year,event,round,dataset,Driver,Team,valid_laps_n,clean_air_laps_n,lap_time_median_s,clean_air_lap_time_median_s,clean_air_lap_time_p25_s,clean_air_best5_median_s,clean_gap_s
2023,Bahrain Grand Prix,1,fastf1,ALB,Williams,45.0,41.0,98.159,98.127,97.78,97.503,2.0
2023,Bahrain Grand Prix,1,fastf1,ALO,Aston Martin,46.0,28.0,97.97,97.7155,97.06775,96.783,2.0
2023,Bahrain Grand Prix,1,fastf1,BOT,Alfa Romeo,41.0,36.0,97.947,97.853,97.78175,97.688,2.0
2023,Bahrain Grand Prix,1,fastf1,DEV,AlphaTauri,44.0,28.0,99.1385,99.066,98.78699999999999,98.206,2.0
2023,Bahrain Grand Prix,1,fastf1,GAS,Alpine,44.0,18.0,98.098,96.84700000000001,96.23150000000001,96.041,2.0
2023,Bahrain Grand Prix,1,fastf1,HAM,Mercedes,46.0,29.0,98.297,98.369,98.111,97.388,2.0
2023,Bahrain Grand Prix,1,fastf1,HUL,Haas F1 Team,43.0,29.0,98.458,97.917,97.314,97.076,2.0
2023,Bahrain Grand Prix,1,fastf1,LEC,Ferrari,30.0,29.0,98.494,98.447,97.858,97.287,2.0
2023,Bahrain Grand Prix,1,fastf1,MAG,Haas F1 Team,44.0,35.0,98.791,98.446,97.63650000000001,97.097,2.0
2023,Bahrain Grand Prix,1,fastf1,NOR,McLaren,31.0,22.0,98.291,97.712,96.82,96.152,2.0
2023,Bahrain Grand Prix,1,fastf1,OCO,Alpine,26.0,18.0,99.5685,99.23150000000001,98.81099999999999,97.338,2.0
2023,Bahrain Grand Prix,1,fastf1,PER,Red Bull Racing,46.0,34.0,97.3695,97.2255,96.9405,96.431,2.0
2023,Bahrain Grand Prix,1,fastf1,PIA,McLaren,9.0,1.0,101.167,101.352,101.352,,2.0
2023,Bahrain Grand Prix,1,fastf1,RUS,Mercedes,45.0,17.0,98.427,98.487,97.86,97.718,2.0
2023,Bahrain Grand Prix,1,fastf1,SAI,Ferrari,45.0,42.0,98.21,98.18549999999999,97.663,97.375,2.0
2023,Bahrain Grand Prix,1,fastf1,SAR,Williams,42.0,24.0,99.01050000000001,97.9535,97.6145,97.227,2.0
2023,Bahrain Grand Prix,1,fastf1,STR,Aston Martin,46.0,29.0,98.1185,97.579,97.304,97.222,2.0
2023,Bahrain Grand Prix,1,fastf1,TSU,AlphaTauri,44.0,5.0,98.1385,97.028,97.021,97.028,2.0
2023,Bahrain Grand Prix,1,fastf1,VER,Red Bull Racing,46.0,46.0,97.5615,97.5615,96.97375,96.373,2.0
2023,Bahrain Grand Prix,1,fastf1,ZHO,Alfa Romeo,42.0,22.0,99.12899999999999,98.631,98.31725,97.957,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,ALB,Williams,19.0,6.0,96.83,96.096,96.036,96.066,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,ALO,Aston Martin,42.0,35.0,93.821,93.401,93.165,92.802,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,BOT,Alfa Romeo,33.0,27.0,96.207,96.148,95.4245,95.227,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,DEV,AlphaTauri,43.0,13.0,95.686,96.017,94.968,94.22,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,GAS,Alpine,40.0,21.0,94.638,94.131,93.929,93.81,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,HAM,Mercedes,43.0,27.0,94.071,93.625,93.315,93.024,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,HUL,Haas F1 Team,41.0,28.0,95.478,94.8895,94.32900000000001,94.03,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,LEC,Ferrari,42.0,20.0,94.5205,93.731,93.41024999999999,93.238,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,MAG,Haas F1 Team,41.0,11.0,95.199,95.199,93.938,93.833,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,NOR,McLaren,40.0,6.0,95.521,95.74600000000001,95.57249999999999,95.721,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,OCO,Alpine,41.0,37.0,94.698,94.641,93.998,93.815,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,PER,Red Bull Racing,42.0,41.0,93.0735,93.072,92.637,92.267,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,PIA,McLaren,42.0,14.0,95.6255,95.72749999999999,95.6285,95.512,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,RUS,Mercedes,43.0,34.0,94.091,93.62899999999999,93.162,92.901,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,SAI,Ferrari,41.0,27.0,94.331,93.803,93.40700000000001,93.128,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,SAR,Williams,43.0,9.0,95.822,94.905,94.584,94.584,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,STR,Aston Martin,9.0,1.0,95.512,96.485,96.485,,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,TSU,AlphaTauri,43.0,31.0,95.246,94.878,94.33449999999999,94.056,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,VER,Red Bull Racing,43.0,28.0,93.123,92.75399999999999,92.38625,92.274,2.0
2023,Saudi Arabian Grand Prix,2,fastf1,ZHO,Alfa Romeo,39.0,19.0,95.391,94.646,94.4385,94.138,2.0
2023,Australian Grand Prix,3,fastf1,ALB,Williams,2.0,0.0,83.494,,,,2.0
2023,Australian Grand Prix,3,fastf1,ALO,Aston Martin,42.0,8.0,82.006,82.90950000000001,82.34675,82.354,2.0
2023,Australian Grand Prix,3,fastf1,BOT,Alfa Romeo,42.0,22.0,83.38,82.734,82.473,82.391,2.0
2023,Australian Grand Prix,3,fastf1,DEV,AlphaTauri,36.0,28.0,84.1445,84.158,83.89775,81.331,2.0
2023,Australian Grand Prix,3,fastf1,GAS,Alpine,42.0,6.0,81.9555,82.5245,81.8275,82.45,2.0
2023,Australian Grand Prix,3,fastf1,HAM,Mercedes,42.0,40.0,82.1,82.044,81.303,80.741,2.0
2023,Australian Grand Prix,3,fastf1,HUL,Haas F1 Team,42.0,21.0,82.36500000000001,82.088,81.866,81.593,2.0
2023,Australian Grand Prix,3,fastf1,MAG,Haas F1 Team,42.0,17.0,83.214,82.164,81.963,81.919,2.0
2023,Australian Grand Prix,3,fastf1,NOR,McLaren,41.0,11.0,82.28,82.536,82.2245,82.155,2.0
2023,Australian Grand Prix,3,fastf1,OCO,Alpine,42.0,26.0,82.059,81.769,81.47149999999999,81.273,2.0
2023,Australian Grand Prix,3,fastf1,PER,Red Bull Racing,42.0,19.0,81.91300000000001,81.456,81.01150000000001,80.747,2.0
2023,Australian Grand Prix,3,fastf1,PIA,McLaren,42.0,24.0,82.64850000000001,82.15950000000001,81.7045,81.669,2.0
2023,Australian Grand Prix,3,fastf1,RUS,Mercedes,8.0,2.0,83.1465,83.1465,83.14025000000001,,2.0
2023,Australian Grand Prix,3,fastf1,SAI,Ferrari,42.0,10.0,81.9305,81.1685,80.98575,80.97,2.0
2023,Australian Grand Prix,3,fastf1,SAR,Williams,36.0,25.0,83.9875,83.758,81.974,81.57,2.0
2023,Australian Grand Prix,3,fastf1,STR,Aston Martin,42.0,16.0,82.12950000000001,81.443,81.1805,81.133,2.0
2023,Australian Grand Prix,3,fastf1,TSU,AlphaTauri,42.0,25.0,83.2885,82.91,82.294,82.009,2.0
2023,Australian Grand Prix,3,fastf1,VER,Red Bull Racing,42.0,39.0,81.909,81.843,81.1185,80.632,2.0
2023,Australian Grand Prix,3,fastf1,ZHO,Alfa Romeo,42.0,3.0,83.2135,83.666,83.467,,2.0
2023,Azerbaijan Grand Prix,4,fastf1,ALB,Williams,39.0,8.0,107.64,107.01050000000001,106.851,106.853,2.0
2023,Azerbaijan Grand Prix,4,fastf1,ALO,Aston Martin,41.0,27.0,106.091,105.955,104.9825,104.782,2.0
2023,Azerbaijan Grand Prix,4,fastf1,BOT,Alfa Romeo,32.0,21.0,108.08099999999999,107.213,106.722,106.652,2.0
2023,Azerbaijan Grand Prix,4,fastf1,DEV,AlphaTauri,7.0,0.0,109.253,,,,2.0
2023,Azerbaijan Grand Prix,4,fastf1,GAS,Alpine,36.0,12.0,106.88300000000001,106.3015,105.88025,105.776,2.0
2023,Azerbaijan Grand Prix,4,fastf1,HAM,Mercedes,41.0,0.0,106.628,,,,2.0
2023,Azerbaijan Grand Prix,4,fastf1,HUL,Haas F1 Team,40.0,1.0,107.67750000000001,107.123,107.123,,2.0
2023,Azerbaijan Grand Prix,4,fastf1,LEC,Ferrari,42.0,37.0,105.97800000000001,105.873,105.323,104.927,2.0
2023,Azerbaijan Grand Prix,4,fastf1,MAG,Haas F1 Team,42.0,2.0,107.52699999999999,108.848,108.7465,,2.0
2023,Azerbaijan Grand Prix,4,fastf1,NOR,McLaren,41.0,10.0,107.388,107.069,106.14750000000001,106.134,2.0
2023,Azerbaijan Grand Prix,4,fastf1,OCO,Alpine,41.0,30.0,107.553,107.161,106.7945,106.606,2.0
2023,Azerbaijan Grand Prix,4,fastf1,PER,Red Bull Racing,42.0,35.0,105.4945,105.394,104.965,104.75,2.0
2023,Azerbaijan Grand Prix,4,fastf1,PIA,McLaren,40.0,15.0,107.46350000000001,106.925,106.864,106.43,2.0
2023,Azerbaijan Grand Prix,4,fastf1,RUS,Mercedes,40.0,0.0,106.858,,,,2.0
2023,Azerbaijan Grand Prix,4,fastf1,SAI,Ferrari,42.0,35.0,106.654,106.545,105.90299999999999,105.507,2.0
2023,Azerbaijan Grand Prix,4,fastf1,SAR,Williams,40.0,14.0,107.84700000000001,107.0085,106.6855,106.638,2.0
2023,Azerbaijan Grand Prix,4,fastf1,STR,Aston Martin,42.0,17.0,106.651,106.203,105.856,105.779,2.0
2023,Azerbaijan Grand Prix,4,fastf1,TSU,AlphaTauri,40.0,7.0,107.4555,107.293,106.424,106.643,2.0
2023,Azerbaijan Grand Prix,4,fastf1,VER,Red Bull Racing,42.0,29.0,105.46000000000001,105.319,105.121,104.566,2.0
2023,Azerbaijan Grand Prix,4,fastf1,ZHO,Alfa Romeo,27.0,19.0,108.28,108.071,107.798,107.617,2.0
2023,Miami Grand Prix,5,fastf1,ALB,Williams,51.0,14.0,92.586,92.362,92.3065,92.222,2.0
2023,Miami Grand Prix,5,fastf1,ALO,Aston Martin,52.0,39.0,92.3285,91.917,91.5495,91.212,2.0
2023,Miami Grand Prix,5,fastf1,BOT,Alfa Romeo,52.0,39.0,92.8475,92.631,92.3885,92.014,2.0
2023,Miami Grand Prix,5,fastf1,DEV,AlphaTauri,52.0,44.0,92.9255,92.875,92.535,91.988,2.0
2023,Miami Grand Prix,5,fastf1,GAS,Alpine,49.0,23.0,92.515,92.17,92.10849999999999,92.025,2.0
2023,Miami Grand Prix,5,fastf1,HAM,Mercedes,52.0,21.0,92.7935,91.729,91.359,91.102,2.0
2023,Miami Grand Prix,5,fastf1,HUL,Haas F1 Team,50.0,10.0,93.037,93.06299999999999,93.01425,93.011,2.0
2023,Miami Grand Prix,5,fastf1,LEC,Ferrari,49.0,21.0,92.484,92.479,92.105,91.768,2.0
2023,Miami Grand Prix,5,fastf1,MAG,Haas F1 Team,52.0,26.0,92.705,92.63149999999999,92.14925,91.757,2.0
2023,Miami Grand Prix,5,fastf1,NOR,McLaren,52.0,41.0,93.1185,93.073,92.744,92.559,2.0
2023,Miami Grand Prix,5,fastf1,OCO,Alpine,52.0,23.0,92.961,92.303,91.7595,91.429,2.0
2023,Miami Grand Prix,5,fastf1,PER,Red Bull Racing,52.0,49.0,91.6185,91.64,91.383,90.688,2.0
2023,Miami Grand Prix,5,fastf1,PIA,McLaren,51.0,46.0,93.437,93.41650000000001,93.20325,92.484,2.0
2023,Miami Grand Prix,5,fastf1,RUS,Mercedes,52.0,29.0,92.131,91.749,91.481,91.266,2.0
2023,Miami Grand Prix,5,fastf1,SAI,Ferrari,52.0,19.0,92.4605,91.727,91.56,91.463,2.0
2023,Miami Grand Prix,5,fastf1,SAR,Williams,52.0,52.0,93.38900000000001,93.38900000000001,93.05275,92.602,2.0
2023,Miami Grand Prix,5,fastf1,STR,Aston Martin,52.0,1.0,92.85249999999999,91.357,91.357,,2.0
2023,Miami Grand Prix,5,fastf1,TSU,AlphaTauri,52.0,14.0,92.9255,92.324,91.48725,91.448,2.0
2023,Miami Grand Prix,5,fastf1,VER,Red Bull Racing,52.0,42.0,91.798,91.43700000000001,90.992,90.372,2.0
2023,Miami Grand Prix,5,fastf1,ZHO,Alfa Romeo,52.0,24.0,93.2345,92.1885,91.92,91.892,2.0
2023,Monaco Grand Prix,6,fastf1,ALB,Williams,56.0,21.0,79.3155,86.764,77.131,76.962,2.0
2023,Monaco Grand Prix,6,fastf1,ALO,Aston Martin,61.0,60.0,77.637,77.6335,77.179,76.862,2.0
2023,Monaco Grand Prix,6,fastf1,BOT,Alfa Romeo,62.0,31.0,79.871,84.637,78.40899999999999,78.024,2.0
2023,Monaco Grand Prix,6,fastf1,DEV,AlphaTauri,61.0,45.0,79.419,80.009,78.75,77.608,2.0
2023,Monaco Grand Prix,6,fastf1,GAS,Alpine,61.0,18.0,78.284,77.84,77.37575000000001,77.207,2.0
2023,Monaco Grand Prix,6,fastf1,HAM,Mercedes,60.0,25.0,78.2305,77.742,76.86,76.58,2.0
2023,Monaco Grand Prix,6,fastf1,HUL,Haas F1 Team,57.0,25.0,79.009,79.836,78.608,77.845,2.0
2023,Monaco Grand Prix,6,fastf1,LEC,Ferrari,59.0,32.0,78.219,78.3895,77.34125,76.971,2.0
2023,Monaco Grand Prix,6,fastf1,MAG,Haas F1 Team,54.0,37.0,79.275,78.849,78.63,78.384,2.0
2023,Monaco Grand Prix,6,fastf1,NOR,McLaren,62.0,51.0,78.9815,78.882,78.22399999999999,77.914,2.0
2023,Monaco Grand Prix,6,fastf1,OCO,Alpine,59.0,59.0,78.074,78.074,77.174,76.938,2.0
2023,Monaco Grand Prix,6,fastf1,PER,Red Bull Racing,50.0,23.0,78.614,77.46,76.7305,76.445,2.0
2023,Monaco Grand Prix,6,fastf1,PIA,McLaren,62.0,56.0,79.0995,79.02000000000001,78.2445,77.701,2.0
2023,Monaco Grand Prix,6,fastf1,RUS,Mercedes,63.0,35.0,78.229,78.229,77.5685,77.223,2.0
2023,Monaco Grand Prix,6,fastf1,SAI,Ferrari,59.0,18.0,78.032,77.1585,76.74549999999999,76.561,2.0
2023,Monaco Grand Prix,6,fastf1,SAR,Williams,55.0,44.0,80.246,80.5865,78.5985,77.383,2.0
2023,Monaco Grand Prix,6,fastf1,STR,Aston Martin,45.0,2.0,78.927,81.12100000000001,81.0965,,2.0
2023,Monaco Grand Prix,6,fastf1,TSU,AlphaTauri,61.0,53.0,78.73,78.567,78.2,77.879,2.0
2023,Monaco Grand Prix,6,fastf1,VER,Red Bull Racing,61.0,61.0,77.428,77.428,77.031,76.701,2.0
2023,Monaco Grand Prix,6,fastf1,ZHO,Alfa Romeo,59.0,31.0,79.099,81.664,77.5555,77.205,2.0
2023,Spanish Grand Prix,7,fastf1,ALB,Williams,55.0,46.0,80.762,79.735,79.42075,79.248,2.0
2023,Spanish Grand Prix,7,fastf1,ALO,Aston Martin,58.0,33.0,80.31899999999999,80.323,79.851,78.749,2.0
2023,Spanish Grand Prix,7,fastf1,BOT,Alfa Romeo,57.0,51.0,81.205,81.19,79.848,78.956,2.0
2023,Spanish Grand Prix,7,fastf1,DEV,AlphaTauri,56.0,21.0,80.5115,80.483,79.24,78.972,2.0
2023,Spanish Grand Prix,7,fastf1,GAS,Alpine,57.0,13.0,79.996,79.191,78.845,78.843,2.0
2023,Spanish Grand Prix,7,fastf1,HAM,Mercedes,58.0,45.0,79.38,79.183,78.927,77.575,2.0
2023,Spanish Grand Prix,7,fastf1,HUL,Haas F1 Team,52.0,37.0,79.898,79.493,78.997,78.861,2.0
2023,Spanish Grand Prix,7,fastf1,LEC,Ferrari,57.0,30.0,80.296,80.2595,78.77499999999999,78.617,2.0
2023,Spanish Grand Prix,7,fastf1,MAG,Haas F1 Team,51.0,21.0,80.31,79.98,79.492,79.105,2.0
2023,Spanish Grand Prix,7,fastf1,NOR,McLaren,55.0,41.0,80.125,80.146,79.896,78.833,2.0
