year,event,round,dataset,Driver,Team,valid_laps_n,clean_air_laps_n,lap_time_median_s,clean_air_lap_time_median_s,clean_air_lap_time_p25_s,clean_air_best5_median_s,clean_gap_s
2022,Bahrain Grand Prix,1,fastf1,ALB,Williams,39.0,31.0,100.863,100.8,99.27,98.356,2.0
2022,Bahrain Grand Prix,1,fastf1,ALO,Alpine,37.0,19.0,99.854,99.809,99.211,98.958,2.0
2022,Bahrain Grand Prix,1,fastf1,BOT,Alfa Romeo,41.0,16.0,99.739,99.81049999999999,99.53125,98.386,2.0
2022,Bahrain Grand Prix,1,fastf1,GAS,AlphaTauri,35.0,23.0,99.513,99.152,98.628,98.301,2.0
2022,Bahrain Grand Prix,1,fastf1,HAM,Mercedes,39.0,25.0,98.368,98.368,97.771,97.47,2.0
2022,Bahrain Grand Prix,1,fastf1,HUL,Aston Martin,37.0,18.0,100.815,100.2765,99.35675,99.22,2.0
2022,Bahrain Grand Prix,1,fastf1,LAT,Williams,39.0,29.0,101.161,100.489,99.797,98.707,2.0
2022,Bahrain Grand Prix,1,fastf1,LEC,Ferrari,42.0,42.0,97.763,97.763,96.84,95.427,2.0
2022,Bahrain Grand Prix,1,fastf1,MAG,Haas F1 Team,41.0,35.0,99.384,99.384,98.197,97.091,2.0
2022,Bahrain Grand Prix,1,fastf1,MSC,Haas F1 Team,40.0,25.0,100.556,99.816,98.279,97.947,2.0
2022,Bahrain Grand Prix,1,fastf1,NOR,McLaren,38.0,15.0,101.68549999999999,100.104,99.4205,99.175,2.0
2022,Bahrain Grand Prix,1,fastf1,OCO,Alpine,39.0,26.0,99.188,99.1235,98.47749999999999,97.68,2.0
2022,Bahrain Grand Prix,1,fastf1,PER,Red Bull Racing,38.0,28.0,98.287,97.911,97.16325,96.511,2.0
2022,Bahrain Grand Prix,1,fastf1,RIC,McLaren,37.0,19.0,100.627,99.715,99.1515,98.988,2.0
2022,Bahrain Grand Prix,1,fastf1,RUS,Mercedes,38.0,30.0,99.0685,99.13050000000001,98.1225,97.753,2.0
2022,Bahrain Grand Prix,1,fastf1,SAI,Ferrari,40.0,38.0,98.243,98.25399999999999,97.26225000000001,96.565,2.0
2022,Bahrain Grand Prix,1,fastf1,STR,Aston Martin,38.0,22.0,100.4485,100.0455,98.68674999999999,98.127,2.0
2022,Bahrain Grand Prix,1,fastf1,TSU,AlphaTauri,39.0,27.0,99.069,99.574,98.766,98.484,2.0
2022,Bahrain Grand Prix,1,fastf1,VER,Red Bull Racing,36.0,26.0,98.25,98.333,97.29,96.898,2.0
2022,Bahrain Grand Prix,1,fastf1,ZHO,Alfa Romeo,39.0,23.0,99.836,99.748,99.00049999999999,97.667,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,ALB,Williams,32.0,9.0,96.331,97.668,95.423,95.423,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,ALO,Alpine,25.0,9.0,95.666,96.431,96.315,96.315,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,BOT,Alfa Romeo,26.0,4.0,95.97999999999999,95.531,94.81675,,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,GAS,AlphaTauri,34.0,21.0,95.975,96.468,93.779,93.616,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,HAM,Mercedes,34.0,17.0,94.988,94.144,93.79,93.379,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,HUL,Aston Martin,34.0,18.0,96.588,95.5925,94.7165,94.205,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,LAT,Williams,12.0,3.0,98.14099999999999,98.409,98.30850000000001,,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,LEC,Ferrari,34.0,29.0,93.4645,93.459,92.752,92.481,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,MAG,Haas F1 Team,35.0,18.0,95.509,94.57050000000001,93.625,93.175,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,NOR,McLaren,33.0,7.0,95.606,97.076,95.7145,97.055,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,OCO,Alpine,35.0,18.0,95.232,94.527,93.51050000000001,93.424,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,PER,Red Bull Racing,33.0,21.0,93.647,94.481,93.122,92.878,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,RIC,McLaren,24.0,12.0,95.7665,95.043,94.77000000000001,94.701,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,RUS,Mercedes,35.0,33.0,94.083,94.072,93.668,93.035,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,SAI,Ferrari,34.0,29.0,93.609,93.231,93.004,92.271,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,STR,Aston Martin,32.0,18.0,96.202,95.44,95.155,94.68,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,VER,Red Bull Racing,34.0,8.0,93.3745,94.9705,92.75049999999999,92.755,2.0
2022,Saudi Arabian Grand Prix,2,fastf1,ZHO,Alfa Romeo,32.0,17.0,96.137,94.576,94.344,94.064,2.0
2022,Australian Grand Prix,3,fastf1,ALB,Williams,43.0,24.0,84.626,83.1825,82.957,82.658,2.0
2022,Australian Grand Prix,3,fastf1,ALO,Alpine,39.0,14.0,84.792,84.3835,84.17575,84.151,2.0
2022,Australian Grand Prix,3,fastf1,BOT,Alfa Romeo,43.0,8.0,84.555,82.45,82.12424999999999,82.201,2.0
2022,Australian Grand Prix,3,fastf1,GAS,AlphaTauri,42.0,11.0,84.5565,83.531,83.22149999999999,83.182,2.0
2022,Australian Grand Prix,3,fastf1,HAM,Mercedes,43.0,20.0,83.11,83.903,83.09975,82.623,2.0
2022,Australian Grand Prix,3,fastf1,LAT,Williams,40.0,27.0,84.976,84.957,84.126,83.924,2.0
2022,Australian Grand Prix,3,fastf1,LEC,Ferrari,43.0,43.0,82.124,82.124,81.5925,81.017,2.0
2022,Australian Grand Prix,3,fastf1,MAG,Haas F1 Team,42.0,14.0,84.861,84.239,83.60674999999999,83.451,2.0
2022,Australian Grand Prix,3,fastf1,MSC,Haas F1 Team,40.0,5.0,84.507,84.347,84.171,84.347,2.0
2022,Australian Grand Prix,3,fastf1,NOR,McLaren,42.0,23.0,84.0755,82.979,82.5895,82.435,2.0
2022,Australian Grand Prix,3,fastf1,OCO,Alpine,40.0,11.0,84.333,84.507,83.136,83.102,2.0
2022,Australian Grand Prix,3,fastf1,PER,Red Bull Racing,41.0,31.0,82.718,82.236,81.9175,81.753,2.0
2022,Australian Grand Prix,3,fastf1,RIC,McLaren,42.0,12.0,83.6995,82.96950000000001,82.64425,82.561,2.0
2022,Australian Grand Prix,3,fastf1,RUS,Mercedes,44.0,28.0,83.244,82.35300000000001,82.062,81.777,2.0
2022,Australian Grand Prix,3,fastf1,STR,Aston Martin,44.0,15.0,84.91300000000001,83.934,83.7935,83.747,2.0
2022,Australian Grand Prix,3,fastf1,TSU,AlphaTauri,41.0,23.0,85.003,84.51,83.88650000000001,83.596,2.0
2022,Australian Grand Prix,3,fastf1,VER,Red Bull Racing,20.0,19.0,83.2175,83.129,82.7045,82.46,2.0
2022,Australian Grand Prix,3,fastf1,VET,Aston Martin,14.0,8.0,85.7795,85.7795,85.50725,85.554,2.0
2022,Australian Grand Prix,3,fastf1,ZHO,Alfa Romeo,42.0,7.0,84.81,84.063,83.1035,83.314,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,ALB,Williams,46.0,5.0,82.257,95.35,95.313,95.35,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,BOT,Alfa Romeo,50.0,30.0,81.4845,81.44800000000001,80.97274999999999,80.886,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,GAS,AlphaTauri,46.0,7.0,82.223,94.569,93.86,94.417,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,HAM,Mercedes,48.0,0.0,82.356,,,,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,LAT,Williams,50.0,37.0,82.405,81.912,81.642,81.396,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,LEC,Ferrari,46.0,22.0,81.02600000000001,80.88499999999999,80.577,78.996,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,MAG,Haas F1 Team,48.0,42.0,81.985,81.985,81.5235,81.358,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,MSC,Haas F1 Team,47.0,34.0,82.009,81.75800000000001,81.3845,79.745,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,NOR,McLaren,51.0,49.0,81.667,81.637,81.44,81.043,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,OCO,Alpine,44.0,23.0,82.107,82.223,82.0415,81.975,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,PER,Red Bull Racing,47.0,47.0,80.992,80.992,80.607,79.84,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,RIC,McLaren,46.0,32.0,82.7705,82.287,82.018,81.682,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,RUS,Mercedes,50.0,44.0,81.75999999999999,81.6715,81.4565,81.082,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,STR,Aston Martin,45.0,31.0,82.128,81.988,81.874,81.787,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,TSU,AlphaTauri,51.0,38.0,81.588,81.767,81.19250000000001,80.704,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,VER,Red Bull Racing,46.0,46.0,80.73599999999999,80.73599999999999,80.45425,79.609,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,VET,Aston Martin,49.0,42.0,81.968,81.807,81.5655,81.359,2.0
2022,Emilia Romagna Grand Prix,4,fastf1,ZHO,Alfa Romeo,49.0,23.0,82.123,81.646,81.45750000000001,81.361,2.0
2022,Miami Grand Prix,5,fastf1,ALB,Williams,41.0,24.0,94.964,94.731,94.04225,93.706,2.0
2022,Miami Grand Prix,5,fastf1,ALO,Alpine,39.0,15.0,94.875,94.885,94.7985,94.782,2.0
2022,Miami Grand Prix,5,fastf1,BOT,Alfa Romeo,40.0,30.0,94.412,94.7465,93.98625,93.52,2.0
2022,Miami Grand Prix,5,fastf1,GAS,AlphaTauri,31.0,26.0,95.173,95.018,94.70700000000001,94.552,2.0
2022,Miami Grand Prix,5,fastf1,HAM,Mercedes,39.0,28.0,93.888,94.4995,93.68125,93.436,2.0
2022,Miami Grand Prix,5,fastf1,LAT,Williams,40.0,33.0,96.4805,96.264,95.407,94.697,2.0
2022,Miami Grand Prix,5,fastf1,LEC,Ferrari,42.0,32.0,93.13300000000001,93.36699999999999,92.932,92.43,2.0
2022,Miami Grand Prix,5,fastf1,MAG,Haas F1 Team,38.0,8.0,95.009,95.8115,95.2585,95.38,2.0
2022,Miami Grand Prix,5,fastf1,MSC,Haas F1 Team,38.0,13.0,94.9195,95.354,94.195,94.014,2.0
2022,Miami Grand Prix,5,fastf1,NOR,McLaren,33.0,19.0,95.358,95.653,94.791,94.6,2.0
2022,Miami Grand Prix,5,fastf1,OCO,Alpine,43.0,20.0,94.945,94.85300000000001,94.62424999999999,94.45,2.0
2022,Miami Grand Prix,5,fastf1,PER,Red Bull Racing,39.0,17.0,93.918,93.838,93.368,93.237,2.0
2022,Miami Grand Prix,5,fastf1,RIC,McLaren,40.0,24.0,95.2785,95.148,94.79375,94.125,2.0
2022,Miami Grand Prix,5,fastf1,RUS,Mercedes,43.0,32.0,94.419,94.16300000000001,93.86425,92.375,2.0
2022,Miami Grand Prix,5,fastf1,SAI,Ferrari,42.0,41.0,93.8625,93.86,93.071,92.225,2.0
2022,Miami Grand Prix,5,fastf1,STR,Aston Martin,42.0,12.0,95.015,96.64,95.71124999999999,94.731,2.0
2022,Miami Grand Prix,5,fastf1,TSU,AlphaTauri,38.0,27.0,95.56700000000001,95.257,94.158,93.318,2.0
2022,Miami Grand Prix,5,fastf1,VER,Red Bull Racing,42.0,36.0,93.24549999999999,92.923,92.41050000000001,91.75,2.0
2022,Miami Grand Prix,5,fastf1,VET,Aston Martin,40.0,5.0,95.2655,93.971,93.944,93.971,2.0
2022,Miami Grand Prix,5,fastf1,ZHO,Alfa Romeo,3.0,0.0,95.883,,,,2.0
2022,Spanish Grand Prix,6,fastf1,ALB,Williams,45.0,38.0,90.495,90.3005,89.596,88.79,2.0
2022,Spanish Grand Prix,6,fastf1,ALO,Alpine,52.0,39.0,88.469,88.234,87.717,86.789,2.0
2022,Spanish Grand Prix,6,fastf1,BOT,Alfa Romeo,55.0,53.0,88.55,88.537,88.259,87.343,2.0
2022,Spanish Grand Prix,6,fastf1,GAS,AlphaTauri,50.0,24.0,88.9855,88.778,88.20949999999999,87.243,2.0
2022,Spanish Grand Prix,6,fastf1,HAM,Mercedes,54.0,40.0,87.3555,87.325,86.816,85.257,2.0
2022,Spanish Grand Prix,6,fastf1,LAT,Williams,50.0,39.0,90.02350000000001,89.831,89.355,87.772,2.0
2022,Spanish Grand Prix,6,fastf1,LEC,Ferrari,19.0,19.0,88.375,88.375,87.549,87.198,2.0
2022,Spanish Grand Prix,6,fastf1,MAG,Haas F1 Team,56.0,53.0,89.842,89.849,89.178,87.756,2.0
2022,Spanish Grand Prix,6,fastf1,MSC,Haas F1 Team,55.0,44.0,89.737,89.587,88.96525,88.359,2.0
2022,Spanish Grand Prix,6,fastf1,NOR,McLaren,53.0,44.0,88.88,88.453,87.69375,85.906,2.0
2022,Spanish Grand Prix,6,fastf1,OCO,Alpine,53.0,48.0,88.76,88.437,87.604,86.364,2.0
2022,Spanish Grand Prix,6,fastf1,PER,Red Bull Racing,52.0,37.0,87.685,87.183,86.218,85.752,2.0
2022,Spanish Grand Prix,6,fastf1,RIC,McLaren,52.0,34.0,89.238,88.955,88.30250000000001,87.376,2.0
2022,Spanish Grand Prix,6,fastf1,RUS,Mercedes,52.0,50.0,88.13,88.13,87.362,85.947,2.0
2022,Spanish Grand Prix,6,fastf1,SAI,Ferrari,52.0,29.0,88.0125,87.394,86.455,86.136,2.0
2022,Spanish Grand Prix,6,fastf1,STR,Aston Martin,49.0,38.0,89.025,88.85749999999999,88.2235,87.677,2.0
2022,Spanish Grand Prix,6,fastf1,TSU,AlphaTauri,52.0,35.0,88.62,88.615,87.85149999999999,86.974,2.0
2022,Spanish Grand Prix,6,fastf1,VER,Red Bull Racing,53.0,31.0,87.176,86.924,86.6385,86.491,2.0
2022,Spanish Grand Prix,6,fastf1,VET,Aston Martin,52.0,39.0,89.0315,88.729,88.31649999999999,88.027,2.0
2022,Spanish Grand Prix,6,fastf1,ZHO,Alfa Romeo,19.0,5.0,90.005,90.033,90.005,90.033,2.0
2022,Monaco Grand Prix,7,fastf1,ALB,Williams,25.0,11.0,79.677,79.677,78.3965,78.289,2.0
2022,Monaco Grand Prix,7,fastf1,ALO,Alpine,44.0,39.0,80.042,79.709,78.6285,77.324,2.0
2022,Monaco Grand Prix,7,fastf1,BOT,Alfa Romeo,44.0,19.0,79.9465,92.732,78.41300000000001,77.993,2.0
2022,Monaco Grand Prix,7,fastf1,GAS,AlphaTauri,42.0,5.0,80.0075,97.686,96.803,97.686,2.0
