year,event,round,dataset,Driver,Team,valid_laps_n,clean_air_laps_n,lap_time_median_s,clean_air_lap_time_median_s,clean_air_lap_time_p25_s,clean_air_best5_median_s,clean_gap_s
2021,Bahrain Grand Prix,1,fastf1,ALO,Alpine,17.0,5.0,97.604,97.596,97.447,97.596,2.0
2021,Bahrain Grand Prix,1,fastf1,BOT,Mercedes,39.0,38.0,95.022,95.0495,94.4675,94.272,2.0
2021,Bahrain Grand Prix,1,fastf1,GAS,AlphaTauri,37.0,33.0,96.512,96.512,94.978,94.243,2.0
2021,Bahrain Grand Prix,1,fastf1,GIO,Alfa Romeo Racing,41.0,31.0,96.79,96.79,95.9355,95.367,2.0
2021,Bahrain Grand Prix,1,fastf1,HAM,Mercedes,40.0,35.0,94.9285,94.816,94.628,94.167,2.0
2021,Bahrain Grand Prix,1,fastf1,LAT,Williams,35.0,34.0,98.105,98.12700000000001,97.65650000000001,97.437,2.0
2021,Bahrain Grand Prix,1,fastf1,LEC,Ferrari,41.0,35.0,96.195,95.945,95.21600000000001,95.041,2.0
2021,Bahrain Grand Prix,1,fastf1,MSC,Haas F1 Team,41.0,38.0,97.944,97.8615,97.14574999999999,96.58,2.0
2021,Bahrain Grand Prix,1,fastf1,NOR,McLaren,43.0,40.0,96.045,95.9725,94.98325,94.629,2.0
2021,Bahrain Grand Prix,1,fastf1,OCO,Alpine,40.0,24.0,96.7065,96.44800000000001,96.24675,95.975,2.0
2021,Bahrain Grand Prix,1,fastf1,PER,Red Bull Racing,43.0,24.0,95.796,95.404,94.69800000000001,94.542,2.0
2021,Bahrain Grand Prix,1,fastf1,RAI,Alfa Romeo Racing,42.0,33.0,96.60849999999999,96.495,95.815,95.368,2.0
2021,Bahrain Grand Prix,1,fastf1,RIC,McLaren,42.0,36.0,96.32050000000001,95.7705,95.41875,95.128,2.0
2021,Bahrain Grand Prix,1,fastf1,RUS,Williams,39.0,28.0,97.238,97.39500000000001,95.91624999999999,95.565,2.0
2021,Bahrain Grand Prix,1,fastf1,SAI,Ferrari,42.0,21.0,96.3215,96.217,94.693,94.63,2.0
2021,Bahrain Grand Prix,1,fastf1,STR,Aston Martin,42.0,29.0,96.6875,96.374,95.787,95.429,2.0
2021,Bahrain Grand Prix,1,fastf1,TSU,AlphaTauri,42.0,22.0,96.606,95.668,95.236,95.108,2.0
2021,Bahrain Grand Prix,1,fastf1,VER,Red Bull Racing,43.0,35.0,95.159,95.286,95.001,93.818,2.0
2021,Bahrain Grand Prix,1,fastf1,VET,Aston Martin,44.0,30.0,97.541,97.0855,96.382,96.185,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,ALO,Alpine,40.0,8.0,80.6395,90.406,89.55225,89.978,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,BOT,Mercedes,15.0,2.0,89.931,90.685,89.83449999999999,,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,GAS,AlphaTauri,37.0,18.0,80.018,88.7115,79.52,79.267,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,GIO,Alfa Romeo Racing,35.0,27.0,80.615,80.282,79.7065,79.549,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,HAM,Mercedes,42.0,25.0,79.206,87.072,79.479,78.332,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,LEC,Ferrari,42.0,19.0,79.5365,88.092,87.3735,86.79,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,MAZ,Haas F1 Team,37.0,37.0,83.452,83.452,81.356,80.622,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,MSC,Haas F1 Team,40.0,40.0,81.94550000000001,81.94550000000001,80.312,79.735,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,NOR,McLaren,42.0,33.0,79.5375,79.388,78.979,78.717,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,OCO,Alpine,40.0,15.0,80.29050000000001,88.971,80.015,79.985,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,PER,Red Bull Racing,42.0,23.0,80.628,87.715,83.9165,79.6,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,RAI,Alfa Romeo Racing,38.0,26.0,80.467,80.209,79.94800000000001,79.577,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,RIC,McLaren,41.0,41.0,80.272,80.272,79.811,79.425,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,RUS,Williams,14.0,12.0,89.70949999999999,89.70949999999999,89.037,88.971,2.0
2021,Emilia Romagna Grand Prix,2,fastf1,SAI,Ferrari,40.0,16.0,79.46600000000001,88.31200000000001,85.536,79.577,2.0
